alias_id,team_alias,alias_name
1,RCB,RCB
2,RCB,Royal Challengers Bengaluru
3,DC,Delhi Daredevils
4,PK,Kings XI Punjab
5,RCB,Royal Challengers Bangalore
6,RCB,Banglore
7,RCB,Bengaluru
8,DC,Delhi Capitals
9,DC,DC
10,DC,DD
11,DC,Delhi
12,PK,Punjab Kings
13,PK,KXIP
14,PK,Punjab
15,SRH,Sunrisers Hyderabad
16,SRH,SRH
17,SRH,Hyderabad
18,SRH,Deccan Chargers
19,MI,Mumbai Indians
20,MI,MI
21,MI,Mumbai
22,RPS,Rising Pune Supergiant
23,RPS,Rising Pune Supergiants
24,RPS,RPS
25,RPS,Pune
26,GL,Gujarat Lions
27,GL,GL
28,KKR,Kolkata Knight Riders
29,KKR,KKR
30,KKR,Kolkatta
31,CSK,Chennai Super Kings
32,CSK,CSK
33,CSK,Chennai
34,RR,Rajasthan Royals
35,RR,Rajasthan
36,RR,RR
37,LSG,Lucknow Super Giants
38,LSG,LSG
39,LSG,Lucknow
40,GT,Gujarat Titans
41,GT,GT
42,KTK,Kochi Tuskers Kerala
43,KTK,KTK
44,KTK,Kerala
45,PW,Pune Warriors
46,PW,PWI
